Imagen/danno,siniestro,roof,sun roof,windshield,outside mirror,windshield wiper,hood,grill,head light,bumper,license plate,indicator light,front fender,shield,wheel,hub cap,door,door handle,window,roof post,quarter window,back fender,tail light,trunk,rearview mirror,window frame,seat,steering wheel,windshield washer,air filter,battery,distributor,radiator,alternator,oil filter,disk brake,muffler,transmission,spare wheel
37.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
482.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
486.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1286.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1312.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1345.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1374.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1431.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1738.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2057.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2158.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2163.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2204.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2223.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2246.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2263.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2326.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2336.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2351.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2716.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2767.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2876.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2915.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2921.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3135.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3164.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3169.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3203.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3327.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3392.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3442.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3454.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3464.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3505.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3513.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3522.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3552.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3555.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3557.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3558.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3589.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3637.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3662.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3682.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3828.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3857.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3919.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3935.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3941.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4021.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4114.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4150.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4195.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4202.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4227.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4299.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4437.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4460.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4469.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4614.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4647.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4662.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4710.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4768.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4779.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4861.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4904.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4935.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4946.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5026.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5056.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5072.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5124.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5180.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5270.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5309.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5385.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5438.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5514.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5533.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5653.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5660.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5674.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5678.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5711.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5772.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5808.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5838.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5849.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5856.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5963.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6006.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6070.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6190.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6196.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6245.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6288.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6296.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6359.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6366.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6371.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6379.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6424.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6474.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6538.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6595.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6616.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6706.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6769.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6855.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6891.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7104.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7115.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7120.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7139.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7140.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7141.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7187.jpg,crack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.jpg,dent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.jpg,dent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.jpg,dent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.jpg,dent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.jpg,dent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.jpg,dent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.jpg,dent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
